Release 8.1i - Fit K.39
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4- 4-2011  9:17AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  adder.ngd
output file: adder_pad.csv
Part type:   xa95144xl
Speed grade: -15
Package:     cs144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
A1,VCC,,VCCIO,,,,,,,,,,
A10,A<26>,I,I/O,INPUT,,,,,,,,,
A11,TIE,,I/O,,,,,,,,,,
A12,TIE,,I/O,,,,,,,,,,
A13,VCC,,VCCIO,,,,,,,,,,
A2,B<11>,I,I/O/GSR,INPUT,,,,,,,,,
A3,B<25>,I,I/O,INPUT,,,,,,,,,
A4,A<15>,I,I/O,INPUT,,,,,,,,,
A5,TIE,,I/O,,,,,,,,,,
A6,B<22>,I,I/O,INPUT,,,,,,,,,
A7,Z<21>,O,I/O,OUTPUT,,,,,,,,,
A8,A<21>,I,I/O,INPUT,,,,,,,,,
A9,Z<2>,O,I/O,OUTPUT,,,,,,,,,
B1,A<4>,I,I/O/GTS3,INPUT,,,,,,,,,
B10,B<27>,I,I/O,INPUT,,,,,,,,,
B11,B<31>,I,I/O,INPUT,,,,,,,,,
B12,GND,,GND,,,,,,,,,,
B13,B<12>,I,I/O,INPUT,,,,,,,,,
B2,GND,,GND,,,,,,,,,,
B3,VCC,,VCCINT,,,,,,,,,,
B4,Z<22>,O,I/O,OUTPUT,,,,,,,,,
B5,Z<20>,O,I/O,OUTPUT,,,,,,,,,
B6,TIE,,I/O,,,,,,,,,,
B7,A<7>,I,I/O,INPUT,,,,,,,,,
B8,GND,,GND,,,,,,,,,,
B9,A<20>,I,I/O,INPUT,,,,,,,,,
C1,Z<11>,O,I/O,OUTPUT,,,,,,,,,
C10,GND,,GND,,,,,,,,,,
C11,Z<3>,O,I/O,OUTPUT,,,,,,,,,
C12,A<31>,I,I/O,INPUT,,,,,,,,,
C13,Z<0>,O,I/O,OUTPUT,,,,,,,,,
C2,B<19>,I,I/O/GTS4,INPUT,,,,,,,,,
C3,A<6>,I,I/O,INPUT,,,,,,,,,
C4,B<18>,I,I/O,INPUT,,,,,,,,,
C5,B<23>,I,I/O,INPUT,,,,,,,,,
C6,Z<12>,O,I/O,OUTPUT,,,,,,,,,
C7,VCC,,VCCIO,,,,,,,,,,
C8,TDO,,TDO,,,,,,,,,,
C9,B<5>,I,I/O,INPUT,,,,,,,,,
D1,VCC,,VCCINT,,,,,,,,,,
D10,Z<28>,O,I/O,OUTPUT,,,,,,,,,
D11,A<12>,I,I/O,INPUT,,,,,,,,,
D12,A<3>,I,I/O,INPUT,,,,,,,,,
D13,B<24>,I,I/O,INPUT,,,,,,,,,
D2,Z<13>,O,I/O,OUTPUT,,,,,,,,,
